Seq	JH1T	JH1O	JH1S	JH3T	JH3O	JH3S	JH4T	JH4O	JH4S	JH5T	JH5O	JH5S	JH6T	JH6O	JH6S	JH7T	JH7O	JH7S
Seq28467	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	5	0
Seq28468	0	1	0	0	0	0	0	19	0	18	1	1	11	41	9	4	6	4
Seq28469	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
Seq28470	0	0	0	0	0	0	0	0	0	0	3	0	1	23	1	0	0	0
Seq28471	0	0	0	0	0	0	0	0	0	6	7	0	18	31	198	6	95	2
Seq28472	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	1	0
Seq28473	0	0	0	1	0	0	0	2	4	3	3	1	16	19	17	1	11	4
Seq28474	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	1	1
Seq28475	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Seq28476	0	0	0	4	0	5	0	0	1	2	295	70	2	205	7	4	98	220
Seq28477	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	4	4
Seq28478	0	0	0	0	0	0	0	0	0	0	2	5	0	11	4	1	3	12
Seq28479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seq28480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Seq28481	0	0	0	2	0	0	0	0	0	4	40	2	8	21	2	1	20	21
Seq28482	1	0	0	57	0	12	0	8	0	3	1257	321	14	748	9	30	463	706
Seq28483	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Seq28484	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	8	2
Seq28485	32	35	51	105	44	66	3	23	17	20	1976	395	71	857	91	66	501	670
Seq28486	0	0	2	5	0	6	0	0	0	0	218	96	1	106	0	8	41	109
Seq28487	0	0	0	4	0	7	0	0	0	0	16	65	0	209	0	0	2	210
Seq28488	0	0	0	2	0	0	0	0	0	0	2	8	1	27	0	1	7	50
Seq28489	0	0	0	0	0	4	0	0	0	0	0	21	0	14	2	1	4	18
Seq28490	0	0	0	3	4	4	0	1	0	2	222	118	2	83	27	13	170	225
Seq28491	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Seq28492	0	0	0	0	0	0	0	1	0	1	4	4	1	9	11	1	10	1
Seq28493	1	139	61	580	23	118	5	60	33	123	2322	1874	79	927	143	632	1404	3942
Seq28494	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0
Seq28495	0	14	6	52	5	14	0	4	17	11	186	227	3	156	23	107	309	595
Seq28496	1	1	7	6	1	0	6	2	2	6	24	8	20	17	35	17	164	48
Seq28497	0	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	3	4
Seq28498	0	0	0	8	0	0	0	1	0	45	2	8	1	6	12	6	4	10
Seq28499	0	0	1	0	0	0	0	3	3	0	14	0	1	30	8	0	6	6
Seq28500	0	1	11	12	5	0	0	1	0	1	99	31	4	14	7	5	186	53
Seq28501	1	0	0	1	0	0	0	0	0	14	4	1	0	0	0	6	42	0
Seq28502	0	3	1	8	0	1	0	1	0	1	12	10	1	1	12	3	4	58
Seq28503	0	3	1	3	0	3	4	2	0	15	52	58	45	43	6	17	35	118
Seq28504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Seq28505	0	0	0	23	0	2	0	0	1	3	42	49	4	16	2	11	34	75
Seq28506	0	0	0	1	0	2	0	0	0	0	4	1	1	7	1	2	9	9
Seq28507	1	172	94	784	30	107	0	55	45	117	2227	1821	10	529	130	767	925	3848
Seq28508	0	8	6	7	1	4	0	7	0	2	119	33	0	135	22	13	44	82
Seq28509	0	7	4	2	0	3	0	4	1	1	90	142	0	23	3	46	39	501
Seq28510	0	7	2	14	0	6	0	1	1	4	81	59	7	34	2	25	16	135
Seq28511	0	71	31	6	13	16	2	23	3	10	634	303	80	80	48	109	170	466
Seq28512	0	2	2	83	0	0	0	4	1	5	135	92	0	32	0	31	88	269
Seq28513	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	0	1	6
Seq28514	0	0	3	6	0	1	0	2	1	0	9	8	0	1	0	3	10	25
Seq28515	0	8	1	12	0	0	0	2	1	4	42	31	0	38	15	1	33	22
Seq28516	0	0	0	21	0	1	0	0	1	5	38	64	1	11	0	10	60	121
Seq28517	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Seq28518	0	11	3	5	0	7	0	4	2	2	132	103	1	31	10	54	24	636
Seq28519	0	118	101	13	10	4	1	58	17	8	311	126	20	285	99	79	91	662
Seq28520	0	1	0	229	0	14	0	0	7	37	291	336	2	51	1	107	154	647
Seq28521	0	68	34	2	1	20	0	13	3	9	329	234	0	50	17	72	75	551
Seq28522	0	1	0	1	0	0	0	1	0	0	8	9	0	12	1	1	1	14
Seq28523	0	0	0	0	0	0	0	0	0	0	23	0	2	5	2	0	8	5
Seq28524	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Seq28525	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0
Seq28526	0	0	1	1	0	0	0	1	0	0	11	4	0	14	3	1	2	8
Seq28527	2	73	58	19	21	66	3	14	5	31	1773	735	30	158	46	197	371	1077
Seq28528	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
Seq28529	0	2	0	1	1	0	0	0	0	2	13	7	1	3	0	4	3	27
Seq28530	0	96	62	39	16	14	0	68	323	21	479	346	160	1645	577	108	1018	544
Seq28531	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Seq28532	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq28533	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Seq28534	0	3	0	1	0	0	0	2	0	0	7	2	0	34	10	0	5	14
